depth	min	max	median	mean
0	-69.5	-69.5	-69.5	-69.5
1	-67.2	-63.4	-65.7	-65.6
2	-62.8	-52.1	-59.2	-58.6
3	-54.4	-47.3	-50.1	-50.3
4	-49.6	-41.4	-45	-45.1
5	-44.4	-33.1	-37.4	-37.7
6	-42	-31.2	-34.4	-35
7	-40.2	-29.7	-32.4	-33.1
8	-38.4	-28	-31.2	-31.7
9	-35.5	-25.5	-29.6	-29.8
10	-34	-24.1	-28.5	-28.6
11	-32.8	-22.9	-27.3	-27.4
12	-31.2	-21.6	-26	-26.1
13	-29.2	-19.7	-24	-24.1
14	-27.7	-18.5	-22.7	-22.8
15	-26.3	-17.5	-21.4	-21.6
16	-24.7	-16.3	-20.1	-20.2
17	-22.7	-15	-18.3	-18.4
18	-21.1	-14	-17	-17.1
19	-19.5	-13.1	-15.8	-15.9
20	-18.1	-12.3	-14.6	-14.7
21	-16.9	-11	-13.4	-13.6
22	-16	-9.8	-12.5	-12.6
23	-15.1	-8.6	-11.7	-11.7
24	-14.3	-7.5	-10.8	-10.8
25	-13.3	-6	-9.8	-9.7
26	-12.4	-4.9	-8.9	-8.8
27	-11.6	-3.9	-8.1	-8
28	-10.8	-3	-7.3	-7.2
29	-10	-2.1	-6.6	-6.5
30	-9.2	-1.2	-5.8	-5.7
31	-8.3	-0.3	-5	-4.8
32	-7.4	0.6	-4.2	-4
33	-6.3	1.5	-3.4	-3.1
34	-5.2	2.5	-2.5	-2.2
35	-4.1	3.6	-1.4	-1.1
36	-2.9	5.3	0.2	0.4
37	-1.5	7.2	2.1	2.3
38	-0.2	9.1	3.9	4
39	1.2	10.7	5.7	5.7
40	2.7	12.1	7.4	7.4
41	4.3	13.6	9	9
42	6	15	10.7	10.6
43	7.9	16.3	12.4	12.3
44	9.8	17.6	14.1	14
45	12	18.8	15.7	15.6
46	14.2	19.9	17.3	17.2
47	16	21.1	18.8	18.8
48	17.2	22.8	20.1	20.1
49	18.4	24.4	21.4	21.4
50	19.5	25.9	22.6	22.6
51	20.7	27.2	23.8	23.9
52	22	28.5	25.1	25.1
53	23.2	29.6	26.3	26.3
54	24.7	30.8	27.5	27.5
55	26.2	32.1	28.7	28.8
56	27.9	33.6	30.2	30.3
57	29	36.5	31.9	32.2
58	30.2	39.7	33.9	34.1
59	31.4	42.8	35.9	36.2
60	32.7	45.5	37.9	38.2
61	34	48.5	39.8	40.2
62	35.4	51.2	41.8	42.3
63	36.8	54.1	43.9	44.3
64	38.2	56.7	45.9	46.4
65	39.7	59.4	47.9	48.3
66	41.2	61.8	49.9	50.4
67	42.7	64.4	52	52.4
68	44.3	67.1	54	54.5
69	45.9	69.5	56.1	56.5
70	47.5	72	58.1	58.5
71	49.3	74.5	60.2	60.6
72	51.1	77.1	62.2	62.7
73	52.9	79.9	64.3	64.8
74	54.5	82.4	66.3	66.8
75	56.1	84.8	68.3	68.9
76	57.8	87	70.4	71
77	59.3	89.4	72.5	73
78	61.1	91.6	74.6	75
79	62.9	94.1	76.6	77
80	64.6	96.2	78.7	79.1
81	66.2	98.6	80.6	81.1
82	67.9	101	82.6	83.1
83	69.6	103.2	84.6	85.1
84	71.3	105.4	86.7	87.1
85	73.3	107.8	88.8	89.2
86	75.4	109.9	90.9	91.3
87	77.1	112	92.9	93.4
88	78.8	114.4	94.9	95.4
89	80.5	116.9	97	97.4
90	82.5	119.3	99.1	99.5
91	84.2	121.6	101.1	101.6
92	86.1	123.7	103.1	103.6
93	87.7	126	105.1	105.6
94	89.5	128.3	107.2	107.7
95	91.4	130.6	109.4	109.7
96	93.2	132.7	111.3	111.8
97	94.8	135.1	113.4	113.8
98	96.6	137.2	115.5	115.8
99	98.4	139.4	117.5	117.9
100	100.3	141.7	119.5	119.9
101	102.1	144	121.6	121.9
102	104	146.1	123.7	124
103	106	148.3	125.7	126
104	107.8	150.4	127.7	128.1
105	109.6	152.6	129.7	130.1
106	111.5	154.9	131.8	132.2
107	113.2	157.1	133.8	134.3
108	115.3	159.4	135.8	136.3
109	117.3	161.5	137.9	138.3
110	119	163.8	139.9	140.4
111	120.7	165.9	141.9	142.4
112	122.4	168.2	143.9	144.4
113	124.5	170.2	145.9	146.5
114	126.3	172.4	148.1	148.5
115	128.3	174.8	150.2	150.6
116	130.1	176.9	152.2	152.6
117	132.2	178.9	154.3	154.7
118	133.9	181.6	156.4	156.8
119	135.8	183.8	158.5	158.8
120	137.7	185.8	160.6	160.9
121	139.3	188.2	162.7	162.9
122	141.2	190.4	164.6	164.9
123	142.9	192.7	166.7	166.9
124	144.6	194.8	168.6	168.9
125	146.6	197.1	170.6	171
126	148.6	199.5	172.7	173
127	150.3	201.8	174.7	175.1
128	152.1	204.1	176.8	177.1
129	153.9	206.6	178.8	179.2
130	155.6	208.6	180.9	181.2
131	157.5	210.8	183	183.2
132	159.4	212.9	185	185.2
133	161.1	215	187.1	187.2
