Depth (cm)	EM3
0.25	0.022822949
0.75	0.063741217
1.25	0.0070509397
1.75	0.036587581
2.25	0.049481008
2.75	0.021535194
3.25	0.014207025
3.75	0.089052312
4.25	0.066746641
4.75	0.057227315
5.25	0.08052419
5.75	0.14362323
6.25	0.069916777
6.75	0.083062289
7.25	0.11922511
7.75	0.10733396
8.25	0.033539508
8.75	0.063533558
9.25	0.085961903
9.75	0.051408403
10.25	0.14391519
10.75	0.041040959
11.25	0.03034561
11.75	0.021097239
12.25	0.013917509
12.75	0.015895144
13.25	0.0066581693
13.75	0.013121274
14.25	0.032043039
14.75	0.0067454106
15.25	0.0061127774
15.75	0.010641468
16.25	0.0063215514
16.75	0.0067192517
17.25	0.0045245859
17.75	0.0082730924
18.25	0.014538303
18.75	0.0050132859
19.25	0.0065172716
19.75	0.0099849094
20.25	0.0050758478
20.75	0.0056260027
21.25	0.008909824
21.75	0.0067888828
22.25	0.010769173
22.75	0.005630611
23.25	0.0090650501
23.75	0.004706637
24.25	0.0044853852
24.75	0.0075433135
25.25	0.018384728
25.75	0.010053401
26.25	0.038891021
26.75	0.010442153
27.25	0.0054373432
27.75	0.0096403921
28.25	0.011039433
28.75	0.0083884473
29.25	0.019998474
29.75	0.015935724
30.25	0.034581316
30.75	0.020507514
31.25	0.013142085
31.75	0.012646828
32.25	0.022444296
32.75	0.017299854
33.25	0.0082726127
33.75	0.0053549987
34.25	0.012184002
34.75	0.0056014548
35.25	0.052322936
35.75	0.0075961613
36.25	0.064413021
36.75	0.11464523
37.25	0.077370522
37.75	0.068779601
38.25	0.055937769
38.75	0.098156846
39.25	0.11072029
39.75	0.13048625
40.25	0.10772662
40.75	0.13307516
41.25	0.13573882
41.75	0.088154171
42.25	0.16242312
42.75	0.13823168
43.25	0.16174145
43.75	0.20476531
44.25	0.13842642
44.75	0.22640508
45.25	0.073565721
45.75	0.012704399
46.25	0.15464935
46.75	0.077217933
47.25	0.033298242
47.75	0.090944974
48.25	0.069361696
48.75	0.098736252
49.25	0.081617402
49.75	0.074669061
50.25	0.037958914
50.75	0.065637458
51.25	0.10184756
51.75	0.055610115
52.25	0.038148169
52.75	0.034779699
53.25	0.024342954
53.75	0.038299269
54.25	0.056521428
54.75	0.032006045
55.25	0.0047330806
55.75	0.030690766
56.25	0.027370566
56.75	0.018428109
57.25	0.10881834
57.75	0.011325234
58.25	0.0092299909
58.75	0.041198998
59.25	0.016912316
59.75	0.039079277
60.25	0.037830069
60.75	0.084894177
61.25	0.0097765036
61.75	0.045659322
62.25	0.039152764
62.75	0.090490924
63.25	0.030088202
63.75	0.016569552
64.25	0.0087766775
64.75	0.036245778
65.25	0.015638311
65.75	0.0055630081
66.25	0.0074389336
66.75	0.0039244708
67.25	0.0038728743
67.75	0.0051529191
68.25	0.0067832287
68.75	0.0044884866
69.25	0.0058353288
69.75	0.0034359489
70.25	0.018459408
70.75	0.0046124173
71.25	0.0034677564
71.75	0.0032953718
72.25	0.0030581694
72.75	0.0034932538
73.25	0.0026406573
73.75	0.0047191709
74.25	0.0065959794
74.75	0.0057985329
75.25	0.0042405153
75.75	0.003492068
76.25	0.0053782214
76.75	0.0068522886
77.25	0.0035877564
77.75	0.0060633945
78.25	0.0026935309
78.75	0.0041820783
79.25	0.0050622906
79.75	0.0059293577
80.25	0.0033922864
80.75	0.0031972216
81.25	0.0030354977
81.75	0.0030526613
82.25	0.0040180673
82.75	0.0036488194
83.25	0.0040974194
83.75	0.035445634
84.25	0.0033881565
84.75	0.0041338274
85.25	0.0039976382
85.75	0.003680917
86.25	0.0068505159
86.75	0.0042884721
87.25	0.0039836697
87.75	0.0059430194
88.25	0.0042695547
88.75	0.0038280915
89.25	0.014680288
89.75	0.0029659389
90.25	0.059972963
90.75	0.0054793743
91.25	0.0074930873
91.75	0.027990362
92.25	0.010745304
92.75	0.0036046594
93.25	0.0083652773
93.75	0.0048766703
94.25	0.0066225591
94.75	0.0050133144
95.25	0.0069145484
95.75	0.014579949
96.25	0.0057080599
96.75	0.0060475565
97.25	0.007933717
97.75	0.0042607248
98.25	0.0028759386
98.75	0.0080179726
99.25	0.026342951
99.75	0.038496612
100.25	0.0041229387
100.75	0.0073679506
101.25	0.020335357
101.75	0.020117477
102.25	0.0054402647
102.75	0.01065471
103.25	0.010226786
103.75	0.0057962527
104.25	0.007247314
104.75	0.045057687
105.25	0.028604994
105.75	0.017468881
106.25	0.020079831
106.75	0.03275441
107.25	0.018514477
107.75	0.010160693
108.25	0.013812942
108.75	0.015148596
109.25	0.015584185
109.75	0.016142166
110.25	0.017179294
110.75	0.0082948001
111.25	0.02052839
111.75	0.015214219
112.25	0.020386429
112.75	0.02477301
113.25	0.002696865
113.75	0.020064624
114.25	0.076148158
114.75	0.026268914
115.25	0.01936033
115.75	0.034631692
116.25	0.067061757
116.75	0.076604709
117.25	0.065922632
117.75	0.038879395
118.25	0.039466732
118.75	0.069456023
119.25	0.022585101
119.75	0.024260903
120.25	0.040464787
120.75	0.0062019111
121.25	0.014254161
121.75	0.0034328147
122.25	0.020618829
122.75	0.0020882155
123.25	0.0029986375
123.75	0.0074702917
124.25	0.0042488796
124.75	0.0038466498
125.25	0.0063555127
125.75	0.017043715
126.25	0.037154084
126.75	0.019259707
127.25	0.019692727
127.75	0.045208466
128.25	0.044724854
128.75	0.043801465
129.25	0.057694514
129.75	0.029078615
130.25	0.011138727
130.75	0.0040988917
131.25	0.002018983
131.75	0.010676214
132.25	0.015022406
132.75	0.013671263
133.25	0.017242722
133.75	0.023599305
134.25	0.040550422
134.75	0.0070560368
135.25	0.032768853
135.75	0.07356005
136.25	0.021103746
136.75	0.043318099
137.25	0.034015207
137.75	0.026173938
138.25	0.046583317
138.75	0.026423149
139.25	0.0081345208
139.75	0.013037677
140.25	0.064986727
140.75	0.039263656
141.25	0.052408235
141.75	0.026137344
142.25	0.020370119
142.75	0.023854988
143.25	0.0087846307
143.75	0.011037128
144.25	0.015199615
144.75	0.0089246492
145.25	0.028123703
145.75	0.045883879
146.25	0.026694747
146.75	0.050455239
147.25	0.036912998
147.75	0.026615379
148.25	0.028882781
148.75	0.0077062901
149.25	0.014821366
149.75	0.016826069
150.25	0.047417038
150.75	0.057471528
151.25	0.45900198
151.75	0.031937901
152.25	0.0074250974
152.75	0.03018417
153.25	0.13247455
153.75	0.022433215
154.25	0.015029994
154.75	0.045968519
155.25	0.0096251008
155.75	0.010331418
156.25	0.011354217
