depth	min	max	median	mean
0	-69.5	-69.5	-69.5	-69.5
1	-68	-65.7	-66.4	-66.7
2	-66.5	-61.9	-63.3	-63.9
3	-65	-58.2	-60.2	-61.1
4	-63.6	-54.4	-57.1	-58.4
5	-61.7	-49.8	-52.7	-54.7
6	-60	-44.7	-48.4	-51
7	-58.3	-39.4	-44.2	-47.4
8	-56.6	-34	-40.1	-43.7
9	-54.3	-32.9	-37.7	-41.6
10	-52.1	-31.2	-35.7	-39.4
11	-50	-28.1	-34.2	-37.3
12	-48	-24	-32.9	-35.1
13	-46.4	-23.5	-32.1	-34.1
14	-44.8	-22.8	-31.5	-33.1
15	-43.3	-21.9	-30.7	-32
16	-41.9	-20.9	-30.1	-31
17	-40.1	-20.4	-29.1	-29.9
18	-38.5	-19.9	-28.2	-28.8
19	-36.9	-19.1	-27.3	-27.7
20	-35.5	-18.2	-26.3	-26.6
21	-34	-17.7	-25.1	-25.5
22	-32.6	-17.1	-24	-24.4
23	-31.3	-16.4	-22.8	-23.2
24	-30.1	-15.3	-21.8	-22.1
25	-28.7	-14.9	-20.7	-21.1
26	-27.4	-14.4	-19.7	-20.1
27	-26.1	-13.7	-18.7	-19.2
28	-25.1	-12.8	-17.7	-18.2
29	-22.8	-12.5	-16.8	-17.1
30	-20.7	-12.2	-15.8	-16
31	-18.9	-11.7	-14.8	-14.9
32	-17.3	-10.9	-13.7	-13.8
33	-16	-10.3	-12.8	-12.9
34	-15.1	-9.2	-11.9	-12
35	-14.4	-7.7	-11.1	-11.1
36	-13.9	-5.9	-10.2	-10.1
37	-12.9	-5.5	-9.5	-9.4
38	-12.3	-4.9	-8.8	-8.7
39	-11.7	-4.2	-8	-8
40	-11.2	-3.3	-7.3	-7.3
41	-9.9	-2.7	-6.6	-6.5
42	-8.6	-2.2	-5.8	-5.7
43	-7.7	-1.4	-5	-4.9
44	-6.9	-0.5	-4.3	-4.1
45	-5.3	0.7	-2.9	-2.8
46	-4.4	2.4	-1.6	-1.5
47	-3.8	4.6	-0.3	-0.1
48	-3.3	7.1	0.9	1.2
49	-1.2	8.6	3.1	3.2
50	0.3	10.5	5.3	5.3
51	1.5	13	7.3	7.3
52	2.4	16.2	9.4	9.4
53	5.6	16.8	11.1	11.1
54	8.4	17.6	12.8	12.8
55	10.6	18.6	14.6	14.6
56	12.4	20.1	16.3	16.3
57	15.7	21.2	18.5	18.5
58	18.1	23	20.7	20.6
59	19.5	25.7	23	22.8
60	20.4	28.9	25.2	25
61	22.3	29.3	26.2	26.1
62	23.7	29.9	27.3	27.2
63	24.7	31	28.5	28.3
64	25.4	32.9	29.5	29.4
65	26	33.7	30.1	30.1
66	26.5	34.8	30.8	30.8
67	26.9	36.3	31.4	31.4
68	27.3	38	31.9	32.1
69	27.9	38.6	32.6	32.8
70	28.4	39.4	33.2	33.4
71	28.8	40.5	33.9	34.1
72	29.2	41.7	34.5	34.8
73	29.7	42.3	35.1	35.4
74	30.2	43.1	35.8	36
75	30.6	43.9	36.4	36.6
76	30.9	44.9	36.9	37.3
77	31.5	45.5	37.6	37.9
78	31.9	46.2	38.2	38.5
79	32.3	47	38.8	39.1
80	32.7	48	39.4	39.7
81	33.3	48.5	39.9	40.3
82	33.9	49.1	40.6	40.9
83	34.3	49.9	41.2	41.5
84	34.7	50.8	41.8	42.1
85	35.3	51.3	42.4	42.7
86	35.8	51.9	43	43.3
87	36.3	52.6	43.6	43.9
88	36.7	53.5	44.2	44.4
89	37.1	54	44.8	45
90	37.6	54.6	45.5	45.6
91	38.1	55.2	46	46.2
92	38.5	56.1	46.6	46.8
93	39	56.6	47.2	47.4
94	39.5	57.1	47.8	47.9
95	39.9	57.7	48.4	48.5
96	40.3	58.4	48.9	49
97	41	58.9	49.5	49.6
98	41.5	59.5	50.1	50.2
99	42.1	60.2	50.8	50.9
100	42.5	61	51.4	51.5
101	43.1	61.5	52	52.1
102	43.6	62	52.6	52.6
103	44.1	62.8	53.2	53.2
104	44.5	63.6	53.7	53.8
105	45.1	64.1	54.3	54.4
106	45.7	64.6	54.9	55
107	46.2	65.3	55.5	55.6
108	46.8	65.9	56	56.1
109	47.5	66.4	56.6	56.7
110	48.1	66.9	57.2	57.3
111	48.6	67.4	57.9	57.9
112	49	68.1	58.4	58.4
113	49.8	68.6	59	59
114	50.3	69.2	59.6	59.6
