depth	min	max	median	mean
0	-69.5	-69.5	-69.5	-69.5
1	-68.1	-66.3	-67.2	-67.2
2	-66.8	-63.1	-64.9	-64.9
3	-65.8	-61.8	-63.9	-63.9
4	-65.1	-59.9	-63	-62.9
5	-63	-57.1	-60.6	-60.5
6	-61.2	-53.9	-58.3	-58.1
7	-60.1	-52.6	-57.2	-57
8	-59.2	-50.8	-56.2	-55.9
9	-56.5	-47.3	-53.5	-53.2
10	-54.2	-43.6	-50.9	-50.4
11	-52.7	-42.2	-49.8	-49.2
12	-51.6	-40.5	-48.7	-48
13	-49.1	-37.2	-46.3	-45.5
14	-47.1	-33.9	-43.8	-43
15	-44.4	-30.4	-39.2	-38.8
16	-42.9	-23.7	-35.1	-34.7
17	-41.5	-21.9	-33.5	-33
18	-40.2	-19.9	-31.8	-31.3
19	-38.1	-18.7	-29.9	-29.5
20	-36.7	-17.4	-28	-27.7
21	-35.3	-15.9	-26.3	-26.1
22	-33.9	-14.3	-24.6	-24.5
23	-31.1	-13.3	-22.8	-22.6
24	-29.3	-12	-20.8	-20.7
25	-26.8	-10.5	-18.3	-18.3
26	-24.5	-8.3	-15.8	-16
27	-21.5	-7.5	-13.9	-14.1
28	-19.4	-6.3	-11.9	-12.2
29	-17.1	-5.4	-10	-10.3
30	-15	-3.9	-8	-8.5
31	-11.1	-3.3	-6.5	-6.7
32	-8.5	-2.3	-4.8	-5
33	-7.8	-1.5	-4.1	-4.2
34	-7.2	-0.3	-3.4	-3.5
35	-6.4	0.9	-2.5	-2.6
36	-5.8	2.5	-1.7	-1.6
37	-4.8	3.8	-0.5	-0.5
38	-4	5.4	0.5	0.6
39	-3.1	6.3	1.5	1.5
40	-2.5	7.7	2.4	2.5
41	-1.5	8.6	3.4	3.4
42	-0.9	9.8	4.3	4.4
43	0.2	10.7	5.4	5.4
44	1.1	11.8	6.3	6.4
45	2.8	12.8	7.9	7.9
46	3.9	14.3	9.4	9.4
47	5.3	15.1	10.5	10.4
48	6.4	16.1	11.6	11.5
49	8	16.8	12.8	12.7
50	9.2	17.8	14	13.8
51	10.8	18.3	14.9	14.8
52	11.9	19	16	15.8
53	13.3	19.5	16.8	16.7
54	14.4	20.2	17.6	17.5
55	15.7	20.8	18.5	18.4
56	16.5	21.8	19.3	19.3
57	17.2	22.6	20.1	20
58	17.8	23.9	20.8	20.8
59	18.5	24.6	21.5	21.5
60	19	25.6	22.2	22.2
61	19.6	26.2	22.9	22.9
62	20.1	26.9	23.5	23.5
63	21	27.5	24.3	24.3
64	21.6	28.3	25	25
65	22.8	29	25.9	25.9
66	23.7	30	26.8	26.8
67	24.9	30.5	27.6	27.6
68	25.7	31.3	28.3	28.4
69	26.8	32	29.1	29.2
70	27.4	33	29.9	30
71	28.1	34.5	30.9	31
72	28.5	36.5	31.8	32
73	29.3	38.2	32.9	33.1
74	29.9	40.2	33.9	34.2
75	30.5	41.4	34.9	35.2
76	31.1	43.3	35.9	36.2
77	31.8	44.4	36.8	37.2
78	32.2	46	37.7	38.1
79	33.1	47.2	38.7	39.1
80	33.7	48.6	39.7	40.1
81	34.6	49.9	40.8	41.2
82	35.2	51.4	41.9	42.3
83	36	52.9	42.9	43.3
84	36.7	54.2	43.9	44.3
85	37.5	55.6	45	45.4
86	38.3	57.2	46.1	46.5
87	39.1	58.1	47.2	47.5
88	39.8	59.5	48.2	48.5
89	40.6	60.6	49.1	49.5
90	41.3	61.8	50.1	50.4
91	42.1	62.9	51.1	51.4
92	42.8	64.2	52	52.4
93	43.6	65.4	53	53.4
94	44.2	66.7	53.9	54.3
95	45	67.8	54.9	55.3
96	45.8	69.3	55.9	56.4
97	46.7	70.5	57	57.4
98	47.5	71.7	58	58.4
