Age	Age_error
2002	7
1996	10
1989	11
1960	4
1956	3
1954	3
1953	3
1951	4
1942	6
1931	3
1924	4
1922	4
1908	8
1904	9
1896	10
1890	10
1889	10
1888	10
1881	9
1878	9
1875	8
1868	7
1866	7
1854	12
1851	13
1828	19
1827	19
1818	21
1810	22
1797	24
1782	25
1781	25
1775	26
1772	26
1768	27
1763	27
1758	28
1756	28
1754	28
1747	28
1743	29
1740	29
1730	31
1727	31
1721	31
1718	31
1707	31
1700	32
1696	32
1691	32
1685	32
1677	32
1675	32
1661	33
1657	33
1650	33
1645	34
1641	34
1639	34
1631	34
1628	34
1626	34
1618	34
1616	34
1608	35
1605	34
1604	34
1596	34
1593	34
1592	34
1586	35
1580	34
1578	35
1572	35
1570	34
1568	34
1566	34
1558	34
1555	34
1552	34
1551	34
1546	34
1541	34
1537	34
1533	33
1530	34
1526	34
1522	33
1520	33
1518	33
1514	33
1512	33
1511	33
1509	33
1506	33
1501	33
1498	33
1493	33
1491	32
1490	32
1486	33
1485	33
1483	33
1482	32
1480	32
1478	32
1475	32
1470	32
1469	32
1467	32
1461	32
1457	32
1456	32
1453	32
1452	31
1449	32
1448	32
1446	31
1443	31
1441	31
1437	31
1432	30
1428	30
1425	30
1423	30
1420	31
1419	31
1409	32
1401	33
1395	34
1394	34
1392	35
1384	35
1380	36
1377	36
1376	36
1370	37
1369	37
1367	37
1365	37
1362	38
1358	38
1357	38
1354	39
1353	38
1351	39
1341	40
1338	40
1335	40
1333	40
1325	41
1321	41
